time_s,x+,x-,y+,y-,z+,z-,OBC,EPS,COMMS,CAMERA,ADCS
3.949999999999999432e+02,5.615999525044288276e+01,2.716946896042189863e+01,1.273295407027770487e+01,2.900893183303798750e+01,2.872132977286308009e+00,2.767562314303118143e+01,2.464569338961985068e+01,2.462863381711597199e+01,2.391213177195377426e+01,2.375859561941901177e+01,2.398037006196921439e+01
3.999999999999999432e+02,5.622642310996303650e+01,2.720650055120743716e+01,1.273391822919088945e+01,2.906614044330587276e+01,2.693840771749791418e+00,2.806626852358563085e+01,2.471280819720544741e+01,2.469558512301832565e+01,2.397221600715977274e+01,2.381720833947579408e+01,2.404110830390819942e+01
4.050000000000000000e+02,5.628806270070118956e+01,2.724272942495531424e+01,1.273579275846185510e+01,2.912270024086214448e+01,2.516194313306061581e+00,2.846224092027409824e+01,2.477974110971172905e+01,2.476235562022727521e+01,2.403216506188065438e+01,2.387569565652066217e+01,2.410170701981842001e+01
4.099999999999999432e+02,5.634500569684533389e+01,2.727816207218769406e+01,1.273854623929363505e+01,2.917862176126615381e+01,2.339184041872093722e+00,2.886346270977882611e+01,2.484648454754290370e+01,2.482893772192853987e+01,2.409197104612579921e+01,2.393404961559663491e+01,2.416215834858319056e+01
4.150000000000000000e+02,5.639734108699727955e+01,2.731280468783068471e+01,1.274214794205700407e+01,2.923391510999834253e+01,2.162800484793944822e+00,2.926985608906521819e+01,2.491303110756373229e+01,2.489532401781637105e+01,2.415162624842756145e+01,2.399226244070138137e+01,2.422245460741696022e+01
4.199999999999999432e+02,5.644515525206570317e+01,2.734666318313788125e+01,1.274656781154456375e+01,2.928858997783233420e+01,1.987034255957546680e+00,2.968134307827146046e+01,2.497937355748089772e+01,2.496150726847456269e+01,2.421112313020891094e+01,2.405032652915198099e+01,2.428258828623419774e+01
4.250000000000000000e+02,5.648853204111598814e+01,2.737974319717768878e+01,1.275177645251937619e+01,2.934265565568022893e+01,1.811876054914027812e+00,3.009784552388173040e+01,2.504550483040964792e+01,2.502748039994282081e+01,2.427045432033650840e+01,2.410823444613514610e+01,2.434255204220376001e+01
4.299999999999999432e+02,5.652755284521961698e+01,2.741205010789983376e+01,1.275774511555294843e+01,2.939612104892869837e+01,1.637316666019380751e+00,3.051928510218035129e+01,2.511141801962009268e+01,2.509323649846271920e+01,2.432961260985343444e+01,2.416597891943715126e+01,2.440233869448287862e+01
4.349999999999999432e+02,5.656229666934548561e+01,2.744358904279578226e+01,1.276444568314743044e+01,2.944899469128302627e+01,1.463346957588078201e+00,3.094558332298480607e+01,2.517710637345761171e+01,2.515876880539780558e+01,2.438859094688620033e+01,2.422355283434799134e+01,2.446194121912538932e+01
4.399999999999999432e+02,5.659284020233501167e+01,2.747436488916747521e+01,1.277185065613701020e+01,2.950128475813554374e+01,1.289957881060464828e+00,3.137666153365492860e+01,2.524256329043197056e+01,2.522407071232239417e+01,2.444738243172049508e+01,2.428094922873436445e+01,2.452135274415875799e+01
4.449999999999999432e+02,5.661925788500304435e+01,2.750438230401812945e+01,1.277993314036352501e+01,2.955299907947452098e+01,1.117140470183568990e+00,3.181244092337590956e+01,2.530778231446996074e+01,2.528913575627392518e+01,2.450598031204058103e+01,2.433816128827628589e+01,2.458056654482469483e+01
4.499999999999999432e+02,5.664162197640587237e+01,2.753364572357853746e+01,1.278866683362140577e+01,2.960414515234892718e+01,9.448858402051154570e-01,3.225284252771244553e+01,2.537275713032646252e+01,2.535395761516368651e+01,2.456437797832719738e+01,2.439518234186222756e+01,2.463957603897827653e+01
4.550000000000000000e+02,5.666000261831737106e+01,2.756215937248173020e+01,1.279802601286717056e+01,2.965473015290408654e+01,7.731851870804572480e-01,3.269778723343141280e+01,2.543748155914898845e+01,2.541853010334108021e+01,2.462256895940901202e+01,2.445200585713784491e+01,2.469837478264062369e+01
4.599999999999999432e+02,5.667446789795403106e+01,2.758992727259849786e+01,1.280798552168872106e+01,2.970476094800266509e+01,6.020297866921907604e-01,3.314719578359022023e+01,2.550194955419092224e+01,2.548284716730654509e+01,2.468054691816287871e+01,2.450862543620351275e+01,2.475695646570035535e+01
4.649999999999999432e+02,5.668508390898894334e+01,2.761695325154584424e+01,1.281852075802977531e+01,2.975424410644504647e+01,4.314109940821615474e-01,3.360098878288819435e+01,2.556615519666876324e+01,2.554690288156851707e+01,2.473830564735817816e+01,2.456503481145595558e+01,2.481531490775914506e+01
4.699999999999999432e+02,5.669191481089452367e+01,2.764324095087995303e+01,1.282960766216487869e+01,2.980318590980259330e+01,2.613202426956864333e-01,3.405908670327773535e+01,2.563009269175888249e+01,2.561069144463985126e+01,2.479583906564073104e+01,2.462122784156948185e+01,2.487344405411682047e+01
4.750000000000000000e+02,5.669502288665312051e+01,2.766879383398499925e+01,1.284122270492045637e+01,2.985159236287697126e+01,9.174904363768096593e-02,3.452140988983259007e+01,2.569375636472931035e+01,2.567420717516936790e+01,2.485314121365188456e+01,2.467719850761241673e+01,2.493133797189162948e+01
